Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019],2020 [YR2020]
Age dependency ratio (% of working-age population),SP.POP.DPND,Afghanistan,AFG,84.0776560757747,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Albania,ALB,45.8100373938934,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Algeria,DZA,57.508032444058,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,American Samoa,ASM,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Andorra,AND,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Angola,AGO,96.1757404434103,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Antigua and Barbuda,ATG,44.6778458949393,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Arab World,ARB,61.1654736187925,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Argentina,ARG,55.9544729116194,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Armenia,ARM,46.8153268581115,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Aruba,ABW,45.6736261165169,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Australia,AUS,53.4850925076098,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Austria,AUT,49.9239537862711,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Azerbaijan,AZE,41.9743769302695,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,"Bahamas, The",BHS,42.3335707774017,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Bahrain,BHR,27.6823885939756,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Bangladesh,BGD,48.9522984985764,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Barbados,BRB,49.5788803540119,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Belarus,BLR,46.4366703836546,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Belgium,BEL,55.8704697088111,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Belize,BLZ,53.8845637799577,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Benin,BEN,84.1664350899012,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Bermuda,BMU,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Bhutan,BTN,46.5724999514271,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Bolivia,BOL,61.9839670266234,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Bosnia and Herzegovina,BIH,45.4260912327308,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Botswana,BWA,62.1713049096165,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Brazil,BRA,43.3833797933835,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,British Virgin Islands,VGB,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Brunei Darussalam,BRN,38.6956282757216,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Bulgaria,BGR,55.3214307352731,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Burkina Faso,BFA,89.9517925391388,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Burundi,BDI,91.3825124942437,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Cabo Verde,CPV,50.121059359117,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Cambodia,KHM,55.6907148735824,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Cameroon,CMR,83.0176316118181,..,..
