INEGI,Estado,Municipio,2018,2019
1001,Aguascalientes,Aguascalientes,PAN,PAN
1002,Aguascalientes,Asientos,PRI_PT_PNA,PRI_PT_PNA
1003,Aguascalientes,Calvillo,PAN,PAN
1004,Aguascalientes,Cosío,Independiente,Independiente
1005,Aguascalientes,Jesús María,PAN,PAN
1006,Aguascalientes,Pabellón de Arteaga,PRD,PRD
1007,Aguascalientes,Rincón de Romos,PRI_PT_PNA,PRI_PT_PNA
1008,Aguascalientes,San José de Gracia,PAN,PAN
1009,Aguascalientes,Tepezalá,PVEM,PVEM
1010,Aguascalientes,El Llano,PRI_PT_PNA,PRI_PT_PNA
1011,Aguascalientes,San Francisco de los Romo,PRI,PRI
2001,Baja_California,Ensenada,PAN,PAN
2002,Baja_California,Mexicali,PAN,PAN
2003,Baja_California,Tecate,PAN,PAN
2004,Baja_California,Tijuana,PAN,PAN
2005,Baja_California,Playas de Rosarito,PAN,PAN
3001,Baja_California_Sur,Comondú,PAN,Morena
3002,Baja_California_Sur,Mulegé,PAN,PNA
3003,Baja_California_Sur,La Paz,PAN,Morena
3008,Baja_California_Sur,Los Cabos,PAN,Morena
3009,Baja_California_Sur,Loreto,PAN,PAN_PRD_PRS_Humanista
4001,Campeche,Calkiní,Morena,PRI_PVEM_PNA
4002,Campeche,Campeche,PAN,PAN_MC
4003,Campeche,Carmen,PRI_PVEM,PRI_PVEM_PNA
4004,Campeche,Champotón,PAN,PRI_PVEM_PNA
4005,Campeche,Hecelchakán,PAN,PES
4006,Campeche,Hopelchén,PRI_PVEM,PRI_PVEM_PNA
4007,Campeche,Palizada,PRI_PVEM,PRI_PVEM_PNA
4008,Campeche,Tenabo,PAN,Morena
4009,Campeche,Escárcega,PRI_PVEM,Morena
4010,Campeche,Calakmul,PRI_PVEM,PRI_PVEM_PNA
4011,Campeche,Candelaria,PAN,PAN_MC
5001,Coahuila,Abasolo,PRI,PRI
5002,Coahuila,Acuña,UDC,UDC
5003,Coahuila,Allende,UDC,UDC
5004,Coahuila,Arteaga,PRI,PRI
5005,Coahuila,Candela,PRI,PRI
5006,Coahuila,Castaños,PRI,PRI
5007,Coahuila,Cuatro Ciénegas,PRI,PRI
5008,Coahuila,Escobedo,PRI,PRI
5009,Coahuila,Francisco I. Madero,PRI,PRI
5010,Coahuila,Frontera,PRI,PRI
5011,Coahuila,General Cepeda,PAN,PAN
5012,Coahuila,Guerrero,PAN,PAN
5013,Coahuila,Hidalgo,PRI,PRI
5014,Coahuila,Jiménez,PRI,PRI
5015,Coahuila,Juárez,PRI,PRI
5016,Coahuila,Lamadrid,PAN,PAN
5017,Coahuila,Matamoros,PRI,PRI
5018,Coahuila,Monclova,PAN,PAN
5019,Coahuila,Morelos,PRI,PRI
5020,Coahuila,Múzquiz,PRI,PRI
5021,Coahuila,Nadadores,PRI,PRI
5022,Coahuila,Nava,PRI,PRI
5023,Coahuila,Ocampo,PMC,PMC
5024,Coahuila,Parras,PVEM,PVEM
5025,Coahuila,Piedras Negras,PRI,PRI
5026,Coahuila,Progreso,PRI,PRI
5027,Coahuila,Ramos Arizpe,PRI,PRI
5028,Coahuila,Sabinas,UDC,UDC
5029,Coahuila,Sacramento,PRI,PRI
5030,Coahuila,Saltillo,PRI,PRI
5031,Coahuila,San Buenaventura,PRI,PRI
5032,Coahuila,San Juan de Sabinas,PAN,PAN
5033,Coahuila,San Pedro,PRI,PRI
5034,Coahuila,Sierra Mojada,PRI,PRI
5035,Coahuila,Torreón,PAN,PAN
5036,Coahuila,Viesca,PRI,PRI
5037,Coahuila,Villa Unión,PRI,PRI
5038,Coahuila,Zaragoza,PRI,PRI
6001,Colima,Armería,PVEM,Morena
6002,Colima,Colima,PAN,MC
6003,Colima,Comala,PRI,PAN
6004,Colima,Coquimatlán,PAN,PRI
6005,Colima,Cuauhtémoc,PAN,PAN
6006,Colima,Ixtlahuacán,PRI,PRI
6007,Colima,Manzanillo,PAN,Morena
6008,Colima,Minatitlán,PVEM,PRI
6009,Colima,Tecomán,PAN,Morena
6010,Colima,Villa de Álvarez,PAN,MC
7001,Chiapas,Acacoyagua,Mover,Chiapas Unido
7002,Chiapas,Acala,Mover,Chiapas Unido
7003,Chiapas,Acapetahua,CU,PVEM
7004,Chiapas,Altamirano,PVEM,PVEM
7005,Chiapas,Amatán,PVEM,Morena
7006,Chiapas,Amatenango de la Frontera,PRI,PRI
7007,Chiapas,Amatenango del Valle,CU,PRI
7008,Chiapas,Angel Albino Corzo,PVEM,PVEM
7009,Chiapas,Arriaga,CU,Chiapas Unido
7010,Chiapas,Bejucal de Ocampo,PRI,Chiapas Unido
7011,Chiapas,Bella Vista,PVEM,PRD
7012,Chiapas,Berriozábal,Mover,Morena
7013,Chiapas,Bochil,PRI,PVEM
7014,Chiapas,El Bosque,Mover,PRI
7015,Chiapas,Cacahoatán,PVEM,PRI
7016,Chiapas,Catazajá,PVEM,PVEM
7017,Chiapas,Cintalapa,PRI,PVEM
7018,Chiapas,Coapilla,PRD,PVEM
7019,Chiapas,Comitán de Domínguez,PRI,Morena
7020,Chiapas,La Concordia,CU,Chiapas Unido
7021,Chiapas,Copainalá,PVEM,PVEM
7022,Chiapas,Chalchihuitán,PRI,PAN
7023,Chiapas,Chamula,PVEM,Morena
7024,Chiapas,Chanal,PRI,PRI
7025,Chiapas,Chapultenango,PT,Mover
7026,Chiapas,Chenalhó,PVEM,PVEM
7027,Chiapas,Chiapa de Corzo,PRI,PVEM
7028,Chiapas,Chiapilla,CU,Mover
7029,Chiapas,Chicoasén,Morena,Morena
7030,Chiapas,Chicomuselo,PVEM,PT
7031,Chiapas,Chilón,PVEM,Morena
7032,Chiapas,Escuintla,PRI,PRI
7033,Chiapas,Francisco León,PVEM,Morena
7034,Chiapas,Frontera Comalapa,PRI,Chiapas Unido
7035,Chiapas,Frontera Hidalgo,PRI,Mover
7036,Chiapas,La Grandeza,PVEM,PNA
7037,Chiapas,Huehuetán,PVEM,Morena
7038,Chiapas,Huixtán,PRD,PRD
7039,Chiapas,Huitiupán,PRI,PRI
7040,Chiapas,Huixtla,CU,Morena
7041,Chiapas,La Independienteendencia,PVEM,PVEM
7042,Chiapas,Ixhuatán,PRD,Morena
7043,Chiapas,Ixtacomitán,PRI,PAN
7044,Chiapas,Ixtapa,PVEM,PVEM
7045,Chiapas,Ixtapangajoya,PVEM,PVEM
7046,Chiapas,Jiquipilas,PVEM,PVEM
7047,Chiapas,Jitotol,PRI,PRI
7048,Chiapas,Juárez,PVEM,Morena
7049,Chiapas,Larráinzar,PRI,PRI
7050,Chiapas,La Libertad,CU,Mover
7051,Chiapas,Mapastepec,Mover,PVEM
7052,Chiapas,Las Margaritas,PVEM,PRD
7053,Chiapas,Mazapa de Madero,PVEM,Chiapas Unido
7054,Chiapas,Mazatán,PVEM,MC
7055,Chiapas,Metapa,PVEM,PNA
7056,Chiapas,Mitontic,PRI,PVEM
7057,Chiapas,Motozintla,CU,PRI
7058,Chiapas,Nicolás Ruíz,PVEM,Morena
7059,Chiapas,Ocosingo,PVEM,PVEM
7060,Chiapas,Ocotepec,PRI,Morena
7061,Chiapas,Ocozocoautla de Espinosa,MC,PRD
7062,Chiapas,Ostuacán,PRI,PVEM
7063,Chiapas,Osumacinta,PVEM,PAN
7064,Chiapas,Oxchuc,PVEM,Usos y costumbres
7065,Chiapas,Palenque,PVEM,PVEM
7066,Chiapas,Pantelhó,PRD,PRD
7067,Chiapas,Pantepec,PAN,PVEM
7068,Chiapas,Pichucalco,PVEM,PVEM
7069,Chiapas,Pijijiapan,PVEM,Morena
7070,Chiapas,El Porvenir,CU,Chiapas Unido
7071,Chiapas,Villa Comaltitlán,PVEM,Chiapas Unido
7072,Chiapas,Pueblo Nuevo Solistahuacán,PRD,PRD
7073,Chiapas,Rayón,PVEM,PRI
7074,Chiapas,Reforma,PVEM,PVEM
7075,Chiapas,Las Rosas,PVEM,Chiapas Unido
7076,Chiapas,Sabanilla,PVEM,Mover
7077,Chiapas,Salto de Agua,PVEM,Mover
7078,Chiapas,San Cristóbal de las Casas,PVEM,Morena
7079,Chiapas,San Fernando,Mover,PVEM
7080,Chiapas,Siltepec,CU,PRI
7081,Chiapas,Simojovel,PVEM,PVEM
7082,Chiapas,Sitalá,Mover,Mover
7083,Chiapas,Socoltenango,PRI,PNA
7084,Chiapas,Solosuchiapa,PVEM,PVEM
7085,Chiapas,Soyaló,PRI,Independiente
7086,Chiapas,Suchiapa,PVEM,Chiapas Unido
7087,Chiapas,Suchiate,PVEM,Mover
7088,Chiapas,Sunuapa,PNA,PAN
7089,Chiapas,Tapachula,Morena,Morena
7090,Chiapas,Tapalapa,PRD,PRI
7091,Chiapas,Tapilula,Mover,Chiapas Unido
7092,Chiapas,Tecpatán,PVEM,PRI
7093,Chiapas,Tenejapa,PRI,PVEM
7094,Chiapas,Teopisca,PVEM,PRI
7096,Chiapas,Tila,PVEM,PVEM
7097,Chiapas,Tonalá,PVEM,PVEM
7098,Chiapas,Totolapa,PRD,PRD
7099,Chiapas,La Trinitaria,PVEM,PRI
7100,Chiapas,Tumbalá,PVEM,Mover
7101,Chiapas,Tuxtla Gutiérrez,PAN,Morena
7102,Chiapas,Tuxtla Chico,PVEM,Morena
7103,Chiapas,Tuzantán,PRI,PNA
7104,Chiapas,Tzimol,PRI,Independiente
7105,Chiapas,Unión Juárez,PAN,Morena
7106,Chiapas,Venustiano Carranza,PVEM,Morena
7107,Chiapas,Villa Corzo,PVEM,Morena
7108,Chiapas,Villaflores,Mover,PVEM
7109,Chiapas,Yajalón,PVEM,PVEM
7110,Chiapas,San Lucas,PVEM,Mover
7111,Chiapas,Zinacantán,PRI,PRI
7112,Chiapas,San Juan Cancuc,PRI,PRI
7113,Chiapas,Aldama,PRI,PRI
7114,Chiapas,Benemérito de las Américas,CU,PNA
7115,Chiapas,Maravilla Tenejapa,PRD,Mover
7116,Chiapas,Marqués de Comillas,PVEM,PNA
7117,Chiapas,Montecristo de Guerrero,CU,Mover
7118,Chiapas,San Andrés Duraznal,PVEM,Mover
7119,Chiapas,Santiago el Pinar,PVEM,Mover
7120,Chiapas,Capitán Luis Ángel Vidal,PVEM,PVEM
7121,Chiapas,Rincón Chamula San Pedro,PVEM,PVEM
7122,Chiapas,El Parral,PT,Chiapas Unido
7123,Chiapas,Emiliano Zapata,Mover,PVEM
7124,Chiapas,Mezcalapa,PVEM,PRI
8001,Chihuahua,Ahumada,MC,PRD
8002,Chihuahua,Aldama,PAN,PNA
8003,Chihuahua,Allende,PRI_PVEM_PNA,PAN_MC
8004,Chihuahua,Aquiles Serdán,PVEM,PRI
8005,Chihuahua,Ascensión,PRI_PVEM_PT_PNA,PAN_MC
8006,Chihuahua,Bachíniva,PRI_PVEM_PT_PNA,PAN
8007,Chihuahua,Balleza,PRI_PVEM_PT_PNA,PRI
8008,Chihuahua,Batopilas de Manuel Gómez Morín,PRI_PNA,PRI
8009,Chihuahua,Bocoyna,MC,MC
8010,Chihuahua,Buenaventura,PRI_PVEM_PT_PNA,PRI
8011,Chihuahua,Camargo,PAN,PAN_MC
8012,Chihuahua,Carichí,PRI_PNA,PAN_MC
8013,Chihuahua,Casas Grandes,PAN,PAN
8014,Chihuahua,Coronado,PAN,PRI
8015,Chihuahua,Coyame del Sotol,PAN,PAN_MC
8016,Chihuahua,La Cruz,PRI_PVEM_PT_PNA,PNA
8017,Chihuahua,Cuauhtémoc,PAN,Morena_PT_PES
8018,Chihuahua,Cusihuiriachi,PRI_PNA,PRI
8019,Chihuahua,Chihuahua,PAN,PAN_MC
8020,Chihuahua,Chínipas,PRI_PVEM_PT_PNA,PRI
8021,Chihuahua,Delicias,PAN,PAN_MC
8022,Chihuahua,Dr. Belisario Domínguez,PAN,PRI
8023,Chihuahua,Galeana,PRI_PVEM_PT_PNA,PAN_MC
8024,Chihuahua,Santa Isabel,PAN,PAN_MC
8025,Chihuahua,Gómez Farías,PRI_PVEM_PNA,Morena_PT_PES
8026,Chihuahua,Gran Morelos,PAN,PVEM
8027,Chihuahua,Guachochi,PRI_PNA,PRI
8028,Chihuahua,Guadalupe,PRI_PVEM_PT_PNA,PRI
8029,Chihuahua,Guadalupe y Calvo,PRI_PVEM_PT_PNA,PRI
8030,Chihuahua,Guazapares,PRI_PVEM_PT_PNA,PAN_MC
8031,Chihuahua,Guerrero,PRI_PVEM_PT_PNA,Morena_PT_PES
8032,Chihuahua,Hidalgo del Parral,Independiente,Independiente
8033,Chihuahua,Huejotitán,PAN,PRI
8034,Chihuahua,Ignacio Zaragoza,PAN,MC
8035,Chihuahua,Janos,MC,PAN_MC
8036,Chihuahua,Jiménez,PRI_PVEM_PT_PNA,PNA
8037,Chihuahua,Juárez,Independiente,Independiente
8038,Chihuahua,Julimes,PAN,PAN_MC
8039,Chihuahua,López,PRI_PVEM_PT_PNA,PRI
8040,Chihuahua,Madera,PAN,PAN_MC
8041,Chihuahua,Maguarichi,PRI_PVEM_PT_PNA,PRI
8042,Chihuahua,Manuel Benavides,PRI_PNA,PRI
8043,Chihuahua,Matachí,PAN,PRI
8044,Chihuahua,Matamoros,PAN,PAN_MC
8045,Chihuahua,Meoqui,PAN,PAN_MC
8046,Chihuahua,Morelos,PRI_PVEM_PT_PNA,PAN_MC
8047,Chihuahua,Moris,PRI_PVEM_PNA,PAN_MC
8048,Chihuahua,Namiquipa,PRI_PNA,PRI
8049,Chihuahua,Nonoava,PAN,PAN
8050,Chihuahua,Nuevo Casas Grandes,PAN,PRD
8051,Chihuahua,Ocampo,PRI_PNA,PRI
8052,Chihuahua,Ojinaga,PAN,PAN_MC
8053,Chihuahua,Praxedis G. Guerrero,PRI_PVEM_PNA,PAN_MC
8054,Chihuahua,Riva Palacio,PAN,PRI
8055,Chihuahua,Rosales,PRI_PVEM_PT_PNA,Morena_PT_PES
8056,Chihuahua,Rosario,PAN,PAN
8057,Chihuahua,San Francisco de Borja,PAN,PAN_MC
8058,Chihuahua,San Francisco de Conchos,PAN,PRI
8059,Chihuahua,San Francisco del Oro,PRI_PVEM_PT_PNA,PRD
8060,Chihuahua,Santa Bárbara,MC,PRI
8061,Chihuahua,Satevó,PAN,PAN_MC
8062,Chihuahua,Saucillo,PAN,PAN_MC
8063,Chihuahua,Temósachic,PAN,PRD
8064,Chihuahua,El Tule,PAN,PAN_MC
8065,Chihuahua,Urique,PRI_PVEM_PT_PNA,PAN_MC
8066,Chihuahua,Uruachi,PRI_PVEM_PT_PNA,PAN_MC
8067,Chihuahua,Valle de Zaragoza,PRI_PVEM_PT_PNA,PRD
9002,Ciudad_de_Mexico,Azcapotzalco,Morena,PT_Morena_PES
9003,Ciudad_de_Mexico,Coyoacán,PRD_PT,PAN_PRD_MC
9004,Ciudad_de_Mexico,Cuajimalpa de Morelos,PRI_PVEM,PRI
9005,Ciudad_de_Mexico,Gustavo A. Madero,PRD_PT,PT_Morena_PES
9006,Ciudad_de_Mexico,Iztacalco,PRD,PT_Morena_PES
9007,Ciudad_de_Mexico,Iztapalapa,PRD_PT_PNA,PT_Morena_PES
9008,Ciudad_de_Mexico,La Magdalena Contreras,PRI_PVEM,PT_Morena_PES
9009,Ciudad_de_Mexico,Milpa Alta,PRI_PVEM,PAN_PRD_MC
9010,Ciudad_de_Mexico,Álvaro Obregón,PRD_PT,PT_Morena_PES
9011,Ciudad_de_Mexico,Tláhuac,Morena,PT_Morena_PES
9012,Ciudad_de_Mexico,Tlalpan,Morena,PT_Morena_PES
9013,Ciudad_de_Mexico,Xochimilco,Morena,PT_Morena_PES
9014,Ciudad_de_Mexico,Benito Juárez,PAN,PAN
9015,Ciudad_de_Mexico,Cuauhtémoc,Morena,Morena_PT_PES
9016,Ciudad_de_Mexico,Miguel Hidalgo,PAN,Morena_PT_PES
9017,Ciudad_de_Mexico,Venustiano Carranza,PRD_PT,PAN_PRD_MC
10001,Durango,Canatlán,PAN_PRD,PAN_PRD
10002,Durango,Canelas,PRI,PRI
10003,Durango,Coneto de Comonfort,PVEM,PVEM
10004,Durango,Cuencamé,PRI_PVEM_PD_PNA,PRI_PVEM_PD_PNA
10005,Durango,Durango,PAN_PRD,PAN_PRD
10006,Durango,General Simón Bolívar,PAN_PRD,PAN_PRD
10007,Durango,Gómez Palacio,PRI_PVEM_PD_PNA,PRI_PVEM_PD_PNA
10008,Durango,Guadalupe Victoria,PAN_PRD,PAN_PRD
10009,Durango,Guanaceví,PRI,PRI
10010,Durango,Hidalgo,PAN_PRD,PAN_PRD
10011,Durango,Indé,PRI_PVEM_PD_PNA,PRI_PVEM_PD_PNA
10012,Durango,Lerdo,PRI_PVEM_PD_PNA,PRI_PVEM_PD_PNA
10013,Durango,Mapimí,PRI_PVEM_PD_PNA,PRI_PVEM_PD_PNA
10014,Durango,Mezquital,PRI_PVEM_PD_PNA,PRI_PVEM_PD_PNA
10015,Durango,Nazas,PRI,PRI
10016,Durango,Nombre de Dios,PT,PT
10017,Durango,Ocampo,PRI_PVEM_PD_PNA,PRI_PVEM_PD_PNA
10018,Durango,El Oro,PAN_PRD,PAN_PRD
10019,Durango,Otáez,MC,MC
10020,Durango,Pánuco de Coronado,PAN_PRD,PAN_PRD
10021,Durango,Peñón Blanco,PVEM_PRI_PD_PNA,PVEM_PRI_PD_PNA
10022,Durango,Poanas,PAN_PRD,PAN_PRD
10023,Durango,Pueblo Nuevo,PRI_PVEM_PD_PNA,PRI_PVEM_PD_PNA
10024,Durango,Rodeo,PVEM_PRI_PD_PNA,PVEM_PRI_PD_PNA
10025,Durango,San Bernardo,PRI,PRI
10026,Durango,San Dimas,PVEM_PRI_PD_PNA,PVEM_PRI_PD_PNA
10027,Durango,San Juan de Guadalupe,PAN_PRD,PAN_PRD
10028,Durango,San Juan del Río,PVEM_PRI_PD_PNA,PVEM_PRI_PD_PNA
10029,Durango,San Luis del Cordero,PRI_PVEM_PD_PNA,PRI_PVEM_PD_PNA
10030,Durango,San Pedro del Gallo,PRI,PRI
10031,Durango,Santa Clara,PRI,PRI
10032,Durango,Santiago Papasquiaro,PRI_PVEM_PD_PNA,PRI_PVEM_PD_PNA
10033,Durango,Súchil,PT,PT
10034,Durango,Tamazula,PRI,PRI
10035,Durango,Tepehuanes,PRI_PVEM_PD_PNA,PRI_PVEM_PD_PNA
10036,Durango,Tlahualilo,PAN_PRD,PAN_PRD
10037,Durango,Topia,PRI,PRI
